job_no,domain,roles,companies,locations,experience,salaries,skills
833,Cybersecurity,Data Scientist,Amgen Inc,Hyderabad,3-7 Yrs,Not Disclosed,"python,scikit-learn,tensorflow,pytorch,ml,algorithms,data analysis,data analytics"
834,Cybersecurity,Consultant,Gemini Consulting Services,Hyderabad,5-10 Yrs,Not Disclosed,"project management,strong analytical skills,program management,business analysis,solution development,research,process improvements,requirement gathering"
835,Cybersecurity,Cybersecurity FT Associate,Antwalk,Hyderabad,3-6 Yrs,Not Disclosed,"SAN,Head Business Development,ISO,cyber security,SOC,Analytical,SMS,Internship"
836,Cybersecurity,Sail Point Analyst,Ensemble Health Partners,Hyderabad,2-6 Yrs,Not Disclosed,"Automation,Development Manager,Analytical,Process improvement,Workflow,Healthcare,Unit testing,Business intelligence"
837,Cybersecurity,Analyst,MNC,Hybrid - Hyderabad,1-6 Yrs,Not Disclosed,"Incentive Calculation,Sales Analysis,Incentives,Incentive Compensation,Data Analytics,Sales Analytics,Sales,Analytics"
838,Cybersecurity,Scam Disruptions Analyst,Straive,"Hyderabad, Gurugram, Bengaluru",3-7 Yrs,15-20 Lacs PA,"Scam,Merchant scam,Excel,OSTIN,Scam report,Advanced Excel,Analysis,Reporting"
839,Cybersecurity,Carrier Analyst,Sykes,Hyderabad,1-4 Yrs,Not Disclosed,"project management,information technology,rpg,problem solving,international voice,telecommunication,microsoft office suite,transition"
840,Cybersecurity,IPDRG CDI Analyst,Captalent Hr,"Hyderabad, Chennai",3-8 Yrs,4-9 Lacs PA,"EM IP,EM OP,IPDRG,Strong Communication Skills,Clinical Coding,Multispecialty Coder,Patient Care,EM Surgery"
841,Cybersecurity,Data Scientist,Amgen Inc,Hyderabad,3-7 Yrs,Not Disclosed,"Data Science,python,data analytics,data analysis,forecasting,predictive analytics,ai,databricks"
842,Cybersecurity,Cybersecurity Analyst,Onebridge Infotech,Hyderabad,3-5 Yrs,Not Disclosed,"threat analysis,risk assessments,event management,cyber security,arcsight,soc,logrhythm,information security"
843,Cybersecurity,Cybersecurity Analyst,Firecaat,Hyderabad,3-6 Yrs,Not Disclosed,"threat analysis,risk assessments,event management,cyber security,arcsight,soc,logrhythm,information security"
844,Cybersecurity,Offshore OT Analyst,Leading Client,"Hyderabad, Bengaluru",5-10 Yrs,Not Disclosed,"Ot,Industrial Engineering,Automation,Industrial Automation,Networking,Instrumentation,Cybersecurity,Ips"
845,Cybersecurity,Lead Analyst - FP&A,Providence Global Center,Hyderabad,5-8 Yrs,Not Disclosed,"IT services,Automation,Financial analysis,Consulting,Healthcare,Budgeting,Continuous improvement,Stakeholder management"
846,Cybersecurity,Carrier Analyst,Sykes,Hyderabad,4-9 Yrs,Not Disclosed,"Service delivery,Analyst,Network infrastructure,Project management,Analytical,Telecommunication,Troubleshooting,Operations"
847,Cybersecurity,Analyst,GD Research Center (GDRC),Hyderabad,4-9 Yrs,Not Disclosed,"Operational excellence,Sales operations,Workflow,Risk management,Lead management,Forecasting,Operations,Analytics"
848,Cybersecurity,Analyst,Bristol Myers Squibb,Hyderabad,1-3 Yrs,Not Disclosed,"Automation,HP data protector,Analytical,Pharmacy,Clinical trials,data privacy,Data mining,Macros"
849,Cybersecurity,VRCT - Analyst,Deloitte US-India Offices,Hyderabad,1-3 Yrs,Not Disclosed,"Risk Management,data analytics,Power BI,Risk Assessment,AI tools,TPRM compliance,Tprm,Data"
850,Cybersecurity,Analyst,Tresvista Financial Services,Pune,0-2 Yrs,Not Disclosed,"risk assessment,data analytics,cyber security,network security,industry research,time management,information security,investment"
851,Cybersecurity,Data Scientist,Amgen Inc,Hyderabad,5-8 Yrs,Not Disclosed,"data scientist,python,data analytics,data analysis,forecasting,predictive analytics,ai,databricks"
852,Cybersecurity,Epidemiology Analyst,Amgen Inc,Hyderabad,8-13 Yrs,Not Disclosed,"Mbbs,Biotechnology,Construction,Pharmacovigilance,Research,Pharmaceutical,Analytics Platforms,Clinical Trials"
853,Cybersecurity,Data Scientist,Amgen Inc,Hyderabad,3-7 Yrs,Not Disclosed,"python,scikit-learn,tensorflow,pytorch,ml,algorithms,data analysis,data analytics"
854,Cybersecurity,Consultant,Gemini Consulting Services,Hyderabad,5-10 Yrs,Not Disclosed,"project management,strong analytical skills,program management,business analysis,solution development,research,process improvements,requirement gathering"
855,Cybersecurity,Cybersecurity FT Associate,Antwalk,Hyderabad,3-6 Yrs,Not Disclosed,"SAN,Head Business Development,ISO,cyber security,SOC,Analytical,SMS,Internship"
856,Cybersecurity,Sail Point Analyst,Ensemble Health Partners,Hyderabad,2-6 Yrs,Not Disclosed,"Automation,Development Manager,Analytical,Process improvement,Workflow,Healthcare,Unit testing,Business intelligence"
857,Cybersecurity,Analyst,MNC,Hybrid - Hyderabad,1-6 Yrs,Not Disclosed,"Incentive Calculation,Sales Analysis,Incentives,Incentive Compensation,Data Analytics,Sales Analytics,Sales,Analytics"
858,Cybersecurity,Scam Disruptions Analyst,Straive,"Hyderabad, Gurugram, Bengaluru",3-7 Yrs,15-20 Lacs PA,"Scam,Merchant scam,Excel,OSTIN,Scam report,Advanced Excel,Analysis,Reporting"
859,Cybersecurity,Carrier Analyst,Sykes,Hyderabad,1-4 Yrs,Not Disclosed,"project management,information technology,rpg,problem solving,international voice,telecommunication,microsoft office suite,transition"
860,Cybersecurity,IPDRG CDI Analyst,Captalent Hr,"Hyderabad, Chennai",3-8 Yrs,4-9 Lacs PA,"EM IP,EM OP,IPDRG,Strong Communication Skills,Clinical Coding,Multispecialty Coder,Patient Care,EM Surgery"
861,Cybersecurity,Analyst,Creative Hands HR,"Hyderabad, Chennai, Bengaluru",0-2 Yrs,1.5-3 Lacs PA,"Excel,Word,Data Entry,Powerpoint,MS Office,Word Processing,PDF,Spreadsheets"
862,Cybersecurity,Qualtrics analyst,BCForward,Hyderabad,3-5 Yrs,8-11 Lacs PA,"Survey,CSS,Survey Design,HTML,Qualtrics,Design,Cs,Analysis"
863,Cybersecurity,Senior Analyst/AM/Manager- FP&A,Feuji Software Solutions,Hyderabad(Gachibowli),3-6 Yrs,Not Disclosed,"Financial Forecasting,Business Finance,Financial Planning And Analysis,Budgeting,Financial Analysis,Financial Reporting,FPA,Financial planning"
864,Cybersecurity,Analyst - Incentive Calculations,Sandoz,Hyderabad,1-3 Yrs,Not Disclosed,"Incentive Calculation,Alignment,Segmentation,Targeting,Incentive Compensation,Call Planning,Data Analytics,Planning"
865,Cybersecurity,BPI - Analyst,International Flavors & Fragrances,Hyderabad,5-8 Yrs,Not Disclosed,"Mining,Automation,Change management,Nutrition,Project management,Analytical,Developer,Continuous improvement"
866,Cybersecurity,Analyst,GD Research Center (GDRC),Hyderabad,1-7 Yrs,Not Disclosed,"Analytical skills,Excel,Primary research,Strategic planning,Power sector,Workflow,Risk management,Forecasting"
867,Cybersecurity,FP&A Asso Analyst,Pepsico,Hyderabad,5-6 Yrs,Not Disclosed,"finance,financial analysis,supply chain,forecasting,customer service,variance analysis,accounting,analytical skills"
868,Cybersecurity,Teradata Developer / Analyst,Infosys,Hyderabad,3-5 Yrs,Not Disclosed,"Teradata,Unix,Architecture,Data Management,Data Extraction,Performance Tuning,Analytics,Sql"
869,Cybersecurity,Analyst,GD Research Center (GDRC),Hyderabad,1-7 Yrs,Not Disclosed,"Market analysis,Analyst,Manager Quality Assurance,Quantitative research,Analytical,Project management,MS Office tools,Powerpoint"
870,Cybersecurity,Smart Building Analyst,Jones Lang LaSalle (JLL),Hyderabad,3-8 Yrs,Not Disclosed,"Computer science,HVAC,Networking,Data management,Coding,Project management,Analytical,MS Office"
871,Cybersecurity,Growth Analyst,Saras Analytics,Hyderabad,3-5 Yrs,Not Disclosed,"Supply chain,Data analysis,Analytical,Consulting,Machine learning,data visualization,Forecasting,Analytics"
872,Cybersecurity,"Junior Analyst, FP&A",IntouchCX,Hyderabad,1-6 Yrs,Not Disclosed,"Analytical skills,Report generation,Excel,Business Finance,Billing,Financial planning,data integrity,Operations leadership"
873,Cybersecurity,Analyst,Perkinelmer,Hyderabad,1-2 Yrs,Not Disclosed,"Root cause analysis,Analyst,Analytical,Lab Head,Healthcare,Troubleshooting,Operations,Testing"
874,Cybersecurity,"LAR, Analyst",GAP,Hyderabad,3-8 Yrs,Not Disclosed,"Analytical skills,ERP,Claims,Compliance,Company audit,Process improvement,Customer service,Property management"
875,Cybersecurity,Analyst,ARP Investments,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-4 Yrs,Not Disclosed,"Analyst,Investor relations,Data management,Risk management,Portfolio management,Forecasting,Analytics,Python"
876,Cybersecurity,Teradata Developer / Analyst,Infosys,Hyderabad,0-7 Yrs,Not Disclosed,"Unix,Performance tuning,Data analysis,Linux,Production support,Data management,Coding,Agile"
877,Cybersecurity,"Analyst, EUC",Ice.com,Hyderabad,3-8 Yrs,Not Disclosed,"Service management,VPN,MIS,Fixed income,Active directory,Customer service,Windows,Risk management"
878,Cybersecurity,FP&A Analyst,Capgemini,Hyderabad,3-6 Yrs,Not Disclosed,"Finance,Automation,Financial Services,Accounting,Financial Consolidation,Financial Data,Variance Analysis,Forecasting"
879,Cybersecurity,Argus Analyst,Kramwen Real Estate Services,"Hyderabad, Gurugram, Chennai",3-7 Yrs,Not Disclosed,"Argus Modeling,Financial Analysis,Argus Enterprise,Real Estate cash flow modelling,Valuation,cash flow analysis,Argus,Cash flow"
880,Cybersecurity,DE-Data Scientist-VG-W4,EY,Hyderabad,8-13 Yrs,Not Disclosed,"Computer science,Business services,Career development,Assurance,Information security,Analytical,Relationship building,Information management"
881,Cybersecurity,Information Security Analyst I,TP,Mumbai,1-2 Yrs,Not Disclosed,"Application design,Information Security Analyst,Operating systems,Intrusion detection,Intellectual property,Disaster recovery,Customer experience management,Vulnerability"
882,Cybersecurity,Senior Manager - Information Security And Governance,HDB Financial Services,Mumbai,10-11 Yrs,Not Disclosed,"it risk management,it security,isms,risk management,cloud security,iso,cyber security,soc"
883,Cybersecurity,Information Security Engineer III,Tower Research Capital,Gurugram,3-8 Yrs,Not Disclosed,"risk management,cyber security,antivirus,hipaa,dss,information security,intrusion detection,vulnerability assessment"
884,Cybersecurity,"I&A On-boarding Information Security Analyst, Associate",Deutsche Bank,Pune,5-10 Yrs,Not Disclosed,"Information Security Analyst,Team management,ISO,Cobit,Access management,Process improvement,Information security,HTML"
885,Cybersecurity,Manager Information Security,Amgen Inc,Hyderabad,3-7 Yrs,Not Disclosed,"Computer science,Automation,Analytical,Information security,ISO 27001,Oncology,Account management,Troubleshooting"
886,Cybersecurity,Lead Information Security Analyst,Nomura,Mumbai,9-10 Yrs,Not Disclosed,"Information Security Analyst,Wealth management,Analytical,ISO 27001,Network security,Investment banking,Information technology,Financial services"
887,Cybersecurity,Lead Information Security Analyst -Security Operations,Inmobi,Lucknow,9-14 Yrs,Not Disclosed,"SAN,Networking,SOC,Incident management,Customer service,microsoft,Open source,Risk management"
888,Cybersecurity,Manager - Information Security,Axis Max Life Insurance,Gurugram,7-12 Yrs,Not Disclosed,"VAPT,Ccsp,Metasploit,Ceh,Nessus,NMAP,Fortify,Vulnerability Assessment"
889,Cybersecurity,Information Security Analyst II,TP,Gurugram,1-5 Yrs,Not Disclosed,"Information Security,Design,Communication Skills,Disaster Recovery,Recovery,Vulnerability Scanning,Auditing,Operating Systems"
890,Cybersecurity,"Information Security Analyst (SIEM, Incident response)",Guidewire Software,Hybrid - Bengaluru,3-5 Yrs,"50,000-90,000 PA","SIEM,Incident response,Edr,GCP,Threat Hunting,TCP/IP,tcpdump,Soar"
891,Cybersecurity,"Information Security Architect, CSIRT (Incident Manager)",Salesforce,Hyderabad,5-10 Yrs,Not Disclosed,"Linux,Information security,Incident management,Windows,Risk management,Continuous improvement,Operations,Technical support"
892,Cybersecurity,Senior Information Security Analyst,Eurofins,Hybrid - Bengaluru,4-9 Yrs,Not Disclosed,"information security,security operations,cro,python,erp,siem,cybersecurity,it solutions"
893,Cybersecurity,Information Security Engineer,Hiring for Infosys,"Hybrid - Hyderabad, Pune, Bengaluru",5-10 Yrs,14-20 Lacs PA,"ISO27001,Information Security,PCI DSS,Security Audits,Risk Assessment,Compliance,Hi Trust,Cissp"
894,Cybersecurity,Information & Security Engineer,NK Securities Research,Gurugram,0-5 Yrs,Not Disclosed,"VMware,Networking,Linux,DNS,Network security,Security operations,Information technology,DHCP"
895,Cybersecurity,Information security Analyst,Wissen Technology,Bengaluru,3-5 Yrs,Not Disclosed,"noc,analytical,soc,enterprise,toc,siem,directory,iam"
896,Cybersecurity,Senior Information Security Analyst - Cloud and AI Security Governance,Wells Fargo,Bengaluru,4-9 Yrs,Not Disclosed,"information security,risk management,security analysis,cloud security,cl,analytical skills,cybersecurity,cissp"
897,Cybersecurity,Senior Information Security Engineer - Security Baselines,Wells Fargo,Hyderabad,4-9 Yrs,Not Disclosed,"Information Security,Java,Automation,Security Incident Response,Use Cases,Powershell,Ai,Bash"
898,Cybersecurity,Information Security Engineering Manager - Security Baselines,Wells Fargo,Bengaluru,5-10 Yrs,Not Disclosed,"Security Engineering,Java,Compliance,Coaching,Architecture,Use Cases,Information Security,Technical Escalation"
899,Cybersecurity,Senior Information Security Operations Analyst,NCR Corporation,Gurugram,4-9 Yrs,Not Disclosed,"Unix,Backend,Automation,Analytical,Information security,Windows,Security operations,Risk management"
900,Cybersecurity,Information Security Analyst Senior,Tsys Global Solutions,Pune,6-11 Yrs,Not Disclosed,"Unix,System architecture,Linux,ISO,Cisa,Information security,Application development,Windows"
901,Cybersecurity,Information Security Analyst I,TP,Mumbai,1-2 Yrs,Not Disclosed,"Application design,Information Security Analyst,Operating systems,Intrusion detection,Intellectual property,Disaster recovery,Customer experience management,Vulnerability"
902,Cybersecurity,Senior Manager - Information Security And Governance,HDB Financial Services,Mumbai,10-11 Yrs,Not Disclosed,"it risk management,it security,isms,risk management,cloud security,iso,cyber security,soc"
903,Cybersecurity,Information Security Engineer III,Tower Research Capital,Gurugram,3-8 Yrs,Not Disclosed,"risk management,cyber security,antivirus,hipaa,dss,information security,intrusion detection,vulnerability assessment"
904,Cybersecurity,"I&A On-boarding Information Security Analyst, Associate",Deutsche Bank,Pune,5-10 Yrs,Not Disclosed,"Information Security Analyst,Team management,ISO,Cobit,Access management,Process improvement,Information security,HTML"
905,Cybersecurity,Manager Information Security,Amgen Inc,Hyderabad,3-7 Yrs,Not Disclosed,"Computer science,Automation,Analytical,Information security,ISO 27001,Oncology,Account management,Troubleshooting"
906,Cybersecurity,Lead Information Security Analyst,Nomura,Mumbai,9-10 Yrs,Not Disclosed,"Information Security Analyst,Wealth management,Analytical,ISO 27001,Network security,Investment banking,Information technology,Financial services"
907,Cybersecurity,Lead Information Security Analyst -Security Operations,Inmobi,Lucknow,9-14 Yrs,Not Disclosed,"SAN,Networking,SOC,Incident management,Customer service,microsoft,Open source,Risk management"
908,Cybersecurity,Manager - Information Security,Axis Max Life Insurance,Gurugram,7-12 Yrs,Not Disclosed,"VAPT,Ccsp,Metasploit,Ceh,Nessus,NMAP,Fortify,Vulnerability Assessment"
909,Cybersecurity,Information Security Analyst II,TP,Gurugram,1-5 Yrs,Not Disclosed,"Information Security,Design,Communication Skills,Disaster Recovery,Recovery,Vulnerability Scanning,Auditing,Operating Systems"
910,Cybersecurity,"Information Security Analyst (SIEM, Incident response)",Guidewire Software,Hybrid - Bengaluru,3-5 Yrs,"50,000-90,000 PA","SIEM,Incident response,Edr,GCP,Threat Hunting,TCP/IP,tcpdump,Soar"
911,Cybersecurity,"Information Security Architect, CSIRT (Incident Manager)",Salesforce,Hyderabad,5-10 Yrs,Not Disclosed,"Linux,Information security,Incident management,Windows,Risk management,Continuous improvement,Operations,Technical support"
912,Cybersecurity,Senior Information Security Analyst,Eurofins,Hybrid - Bengaluru,4-9 Yrs,Not Disclosed,"information security,security operations,cro,python,erp,siem,cybersecurity,it solutions"
913,Cybersecurity,Information Security Engineer,Hiring for Infosys,"Hybrid - Hyderabad, Pune, Bengaluru",5-10 Yrs,14-20 Lacs PA,"ISO27001,Information Security,PCI DSS,Security Audits,Risk Assessment,Compliance,Hi Trust,Cissp"
914,Cybersecurity,Information & Security Engineer,NK Securities Research,Gurugram,0-5 Yrs,Not Disclosed,"VMware,Networking,Linux,DNS,Network security,Security operations,Information technology,DHCP"
915,Cybersecurity,Information security Analyst,Wissen Technology,Bengaluru,3-5 Yrs,Not Disclosed,"noc,analytical,soc,enterprise,toc,siem,directory,iam"
916,Cybersecurity,Senior Information Security Analyst - Cloud and AI Security Governance,Wells Fargo,Bengaluru,4-9 Yrs,Not Disclosed,"information security,risk management,security analysis,cloud security,cl,analytical skills,cybersecurity,cissp"
917,Cybersecurity,Senior Information Security Engineer - Security Baselines,Wells Fargo,Hyderabad,4-9 Yrs,Not Disclosed,"Information Security,Java,Automation,Security Incident Response,Use Cases,Powershell,Ai,Bash"
918,Cybersecurity,Information Security Engineering Manager - Security Baselines,Wells Fargo,Bengaluru,5-10 Yrs,Not Disclosed,"Security Engineering,Java,Compliance,Coaching,Architecture,Use Cases,Information Security,Technical Escalation"
919,Cybersecurity,Senior Information Security Operations Analyst,NCR Corporation,Gurugram,4-9 Yrs,Not Disclosed,"Unix,Backend,Automation,Analytical,Information security,Windows,Security operations,Risk management"
920,Cybersecurity,Information Security Analyst Senior,Tsys Global Solutions,Pune,6-11 Yrs,Not Disclosed,"Unix,System architecture,Linux,ISO,Cisa,Information security,Application development,Windows"
921,Cybersecurity,Information Security Analyst I,TP,Chennai,1-2 Yrs,Not Disclosed,"Information Security,Design,Intellectual Property,Disaster Recovery,Recovery,Vulnerability Scanning,Auditing,Operating Systems"
922,Cybersecurity,Information Security Analyst,Billtrust,Hybrid - Hyderabad,1-3 Yrs,Not Disclosed,"Iso 27001 Lead Auditor,Compliance,GRC,SOC 1,SOC 2,Information Security,ISO,SOC"
923,Cybersecurity,Permanent Role For Information Security Engineer,Deloitte US-India Offices,"Hybrid - Hyderabad, Chennai, Bengaluru",3-8 Yrs,11-21 Lacs PA,"Scripting Languages,Information Security,Troubleshooting,Encryption Technologies,SQL,thales,Linux,Oracle"
924,Cybersecurity,Information Security Analyst,Eurofins,Bengaluru,4-9 Yrs,Not Disclosed,"information security,python,data analysis,dns,siem,cybersecurity,sql,incident response"
925,Cybersecurity,AI/ Information Security- Senior Analyst IT Security II,Legato,Hyderabad,3-8 Yrs,Not Disclosed,"SAN,Automation,IT Analyst,GCP,Senior Analyst,IT security,Information security,Genetics"
926,Cybersecurity,Information Security Engineering Manager,Wells Fargo,Bengaluru,5-10 Yrs,Not Disclosed,"Security Engineering,Incident Response,Security Architecture,Security Incident Response,Architecture,Digital Forensics,Information Security,Endpoint Security"
927,Cybersecurity,AI/ Information Security- Senior Analyst IT Security II,Legato,Bengaluru,3-8 Yrs,Not Disclosed,"SAN,Automation,IT Analyst,GCP,Senior Analyst,IT security,Information security,Genetics"
928,Cybersecurity,Analyst Information Security,Lowes Services India Private limited,Bengaluru,5-10 Yrs,Not Disclosed,"Unix,Supply chain,security compliance,Retail,Automation,Cisa,Information security,Application security"
929,Cybersecurity,Information Security Assistant Manager,TP,Bengaluru,5-10 Yrs,Not Disclosed,"Information Security,Bpo,Design,Disaster Recovery,Operations,Recovery,Vulnerability Scanning,Auditing"
930,Cybersecurity,Information Security Engineering Manager,Wells Fargo,Hyderabad,5-10 Yrs,Not Disclosed,"Security Engineering,Coaching,Architecture,Network Security,Information Security,Endpoint Security,Forecasting,Firewall"
931,Cybersecurity,Information Security Engineer,Fourth Dimension Technologies,Chennai,2-3 Yrs,4-4.5 Lacs PA,"Cyber Security,Information Security,Security Monitoring,Network Security,Security Operations Center,Security operations,Cyber,Security"
932,Cybersecurity,Information Security Automation Engineer,Corning Technologies,Gurugram,1-4 Yrs,Not Disclosed,"Computer science,Automation,Information Security Analyst,Information security,Machine learning,Cloud,Agile,data governance"
933,Cybersecurity,Information Security Engineer II - IAM Operations (Okta),First Citizens India,Bengaluru,4-7 Yrs,Not Disclosed,"Unix,TCP,Information security,Active directory,DNS,Windows,Risk management,Continuous improvement"
934,Cybersecurity,Information Security Analyst,Environmental Resources Management (ERM),New Delhi,3-4 Yrs,Not Disclosed,"Business services,Due diligence,Cisa,Information security,Risk assessment,Consulting,Risk management,Continuous improvement"
935,Cybersecurity,Information Security Analyst,Guidewire Software,Bengaluru,3-5 Yrs,Not Disclosed,"Unix,Linux,VPN,SOC,SIEM,Windows,Security operations,Continuous improvement"
936,Cybersecurity,Information Security Senior Manager,Wells Fargo,Bengaluru,7-12 Yrs,Not Disclosed,"compliance,risk management,security analysis,business management,security tools,leadership,directory services,information security"
937,Cybersecurity,Associate Senior Manager - Information Security AI Secruity,Persistent,Pune,13-14 Yrs,Not Disclosed,"Information Security Audit,AI control gaps,AI/ML models,AI Risk Assessments,Ml,Auditing,Security audit,Assessment"
938,Cybersecurity,Information Security Engineering Manager,Wells Fargo,Bengaluru,5-10 Yrs,Not Disclosed,"security engineering,digital forensics,risk management,endpoint security,issue resolution,security architecture,security incident response,information security"
939,Cybersecurity,"Manager, Information Security",PowerSchool India,Bengaluru,10-15 Yrs,Not Disclosed,"Security Operations,Incident Response,Secops,SOC,Vulnerability Management,Threat Analysis,Security Monitoring,Operations"
940,Cybersecurity,Senior Information Security Analyst,Tsys Global Solutions,Pune,6-11 Yrs,Not Disclosed,"Unix,System architecture,Linux,ISO,Cisa,Information security,Application development,Windows"
941,Cybersecurity,Information Security Analyst I,TP,Mumbai,1-2 Yrs,Not Disclosed,"Application design,Information Security Analyst,Operating systems,Intrusion detection,Intellectual property,Disaster recovery,Customer experience management,Vulnerability"
942,Cybersecurity,Cyber Security Lead,Tata Power,"Mumbai, Mumbai Suburban",5-10 Yrs,Not Disclosed,"Cyber Security,OT,Ot Security,SCADA,Edr,DCS,Operational Technology,Cyber"
943,Cybersecurity,Cyber Security Analyst,Barclays,Pune,8-13 Yrs,Not Disclosed,"Analyst,Automation,cyber security analyst,Information security,Risk management,Continuous improvement,Security operations,Stakeholder management"
944,Cybersecurity,Cyber Security Professional,EY,Hyderabad,5-7 Yrs,Not Disclosed,"SEC,Network administration,Linux,Access management,Information security,Consulting,Incident management,Windows"
945,Cybersecurity,Cyber Security Engineer,Huawei Technologies,Bengaluru,2-5 Yrs,Not Disclosed,"Telecom,Payroll,cyber security,database security,Protocol stack,Schema,Network security,Security testing"
946,Cybersecurity,Network Security Lead Palo Alto - Virtual Interview,Tata Consultancy Services,"Hyderabad, Chennai, Bengaluru",4-9 Yrs,Not Disclosed,"VPN,Network Security,Palo Alto Networks,VLAN,Palo Alto Firewall,Interviewing,Firewall,Security"
947,Cybersecurity,Cyber Security Analyst,Intas,Ahmedabad,5-7 Yrs,12-15 Lacs PA,"Cyber Security,SOC,SIEM,Web Application Firewall,Application,Security,Security analysis,Web technologies"
948,Cybersecurity,Cyber Security Analyst,Nvidia,Pune,8-13 Yrs,Not Disclosed,"Computer science,digital forensics,Automation,Linux,Access management,Network analysis,Cloud,Forensic"
949,Cybersecurity,"I&A On-boarding Information Security Analyst, Associate",Deutsche Bank,Pune,5-10 Yrs,Not Disclosed,"Information Security Analyst,Team management,ISO,Cobit,Access management,Process improvement,Information security,HTML"
950,Cybersecurity,Cyber Security Analyst-Senior II,FedEx,Hyderabad,7-10 Yrs,Not Disclosed,"Cism,global operations,Architecture,Information security,Genetics,Risk management,Stakeholder management,Business solutions"
951,Cybersecurity,Lead Information Security Analyst -Security Operations,Inmobi,Lucknow,9-14 Yrs,Not Disclosed,"SAN,Networking,SOC,Incident management,Customer service,microsoft,Open source,Risk management"
952,Cybersecurity,Cyber Security Analyst I,Novo Nordisk,Bengaluru,2-5 Yrs,Not Disclosed,"tcp,it security,ip protocols,cyber security,soc,ip,ceh,network services"
953,Cybersecurity,Cyber Security Analyst,Azim Premji Foundation,Bengaluru,10-15 Yrs,Not Disclosed,"remediation,endpoint security,cyber security,Event management,Access management,Information security,ISO 27001,Standard operating procedures"
954,Cybersecurity,Ethical Hacker / Application Security Expert - Red Team,PayU,Bengaluru,8-13 Yrs,Not Disclosed,"cyber security,network security,owasp,soc,ceh,information security,vulnerability management,siem"
955,Cybersecurity,Cyber Security Analyst,Precise Testing Solution,Noida(Sector 63),0 Yrs,Not Disclosed,"Certified Ethical Hacker,Penetration Testing,Ceh,Information Security,Ethical Hacking,Web Application Security,Oscp,OWASP"
956,Cybersecurity,Cyber Security Analyst,LA Technologies,Mumbai,0-1 Yrs,Not Disclosed,"network penetration testing,cyber security,owasp,ceh,information security,siem,vulnerability assessment,cyber forensics"
957,Cybersecurity,Cyber Security Analyst,Mobitrail,Mumbai (All Areas),0-2 Yrs,Not Disclosed,"Penetration Testing,OWASP,Vulnerability Management,Kali Linux,Mobile Security,Web Application Security,Oscp,Vulnerability"
958,Cybersecurity,Cyber Security Analyst,Amantya Technologies,Hyderabad,3-8 Yrs,9-15 Lacs PA,"Incident Response,Malware Analysis,SOC,Threat Hunting,SIEM,Cyber Security,Hunting,Threat Analysis"
959,Cybersecurity,Cyber Security Engineer,Care Infotech,Kolkata,5-9 Yrs,3-4.2 Lacs PA,"Cyber Security,IT Risk Management,Information Security,Ethical Hacking,Certified Ethical Hacker,Cyber Forensics,Penetration Testing,Cyber Threat"
960,Cybersecurity,"Security Analyst - VAPT, Application/ Cloud Security",Kapture Crm,Bengaluru,2-4 Yrs,Not Disclosed,"security analysis,cloud security,cyber security,owasp,ceh,information security,vulnerability assessment,security audit"
961,Cybersecurity,Information Security Analyst I,TP,Mumbai,1-2 Yrs,Not Disclosed,"Application design,Information Security Analyst,Operating systems,Intrusion detection,Intellectual property,Disaster recovery,Customer experience management,Vulnerability"
962,Cybersecurity,Cyber Security Lead,Tata Power,"Mumbai, Mumbai Suburban",5-10 Yrs,Not Disclosed,"Cyber Security,OT,Ot Security,SCADA,Edr,DCS,Operational Technology,Cyber"
963,Cybersecurity,Cyber Security Analyst,Barclays,Pune,8-13 Yrs,Not Disclosed,"Analyst,Automation,cyber security analyst,Information security,Risk management,Continuous improvement,Security operations,Stakeholder management"
964,Cybersecurity,Cyber Security Professional,EY,Hyderabad,5-7 Yrs,Not Disclosed,"SEC,Network administration,Linux,Access management,Information security,Consulting,Incident management,Windows"
965,Cybersecurity,Cyber Security Engineer,Huawei Technologies,Bengaluru,2-5 Yrs,Not Disclosed,"Telecom,Payroll,cyber security,database security,Protocol stack,Schema,Network security,Security testing"
966,Cybersecurity,Network Security Lead Palo Alto - Virtual Interview,Tata Consultancy Services,"Hyderabad, Chennai, Bengaluru",4-9 Yrs,Not Disclosed,"VPN,Network Security,Palo Alto Networks,VLAN,Palo Alto Firewall,Interviewing,Firewall,Security"
967,Cybersecurity,Cyber Security Analyst,Intas,Ahmedabad,5-7 Yrs,12-15 Lacs PA,"Cyber Security,SOC,SIEM,Web Application Firewall,Application,Security,Security analysis,Web technologies"
968,Cybersecurity,Cyber Security Analyst,Nvidia,Pune,8-13 Yrs,Not Disclosed,"Computer science,digital forensics,Automation,Linux,Access management,Network analysis,Cloud,Forensic"
969,Cybersecurity,"I&A On-boarding Information Security Analyst, Associate",Deutsche Bank,Pune,5-10 Yrs,Not Disclosed,"Information Security Analyst,Team management,ISO,Cobit,Access management,Process improvement,Information security,HTML"
970,Cybersecurity,Cyber Security Analyst-Senior II,FedEx,Hyderabad,7-10 Yrs,Not Disclosed,"Cism,global operations,Architecture,Information security,Genetics,Risk management,Stakeholder management,Business solutions"
971,Cybersecurity,Lead Information Security Analyst -Security Operations,Inmobi,Lucknow,9-14 Yrs,Not Disclosed,"SAN,Networking,SOC,Incident management,Customer service,microsoft,Open source,Risk management"
